date,rme,re_ew,r_size,r_value,r_prof,r_valprof,r_fscore,r_debtiss,r_repurch,r_nissa,r_accruals,r_growth,r_aturnover,r_gmargins,r_divp,r_ep,r_cfp,r_noa,r_inv,r_invcap,r_igrowth,r_sgrowth,r_lev,r_roaa,r_roea,r_sp,r_gltnoa,r_mom,r_indmom,r_valmom,r_valmomprof,r_shortint,r_mom12,r_momrev,r_lrrev,r_valuem,r_nissm,r_sue,r_roe,r_rome,r_roa,r_strev,r_ivol,r_betaarb,r_season,r_indrrev,r_indrrevlv,r_indmomrev,r_ciss,r_price,r_age,r_shvol
07/1976,-0.0107,-0.008039638,-0.009785869,0.0327837743,-0.037584997,0.01981437,0.0188068947,0.0209337926,-0.005228959,-0.00805011,-0.029885321,-0.028842479,-0.038717045,-0.006810253,0.0441305659,0.0073624175,0.0201640635,0.0207168881,-0.020370703,-0.027157616,-0.037266499,0.0039694999,0.0347536117,-0.060658765,-0.047985305,0.0089505618,-0.004161252,-0.02682389,-0.031228047,-0.003625389,-0.012540015,-0.07543321,-0.013202063,-0.043255682,-0.027158293,0.0395932734,-0.007283095,-0.009664808,-0.035676961,0.017812531,-0.039683677,-0.034122669,-0.018855074,-0.027026122,0.001338012,-0.047985156,-0.063204433,-0.024437177,-0.029493843,-0.035783792,-0.00306865,-0.02769145
08/1976,-0.0056,-0.013649767,0.0225492052,0.0160156258,-0.025305276,-0.017659661,0.0150075097,0.0001397302,-0.003080139,0.0163400415,0.0006574887,0.0040538791,-0.031250821,-0.001292176,0.0449799346,0.0171565523,0.0092649348,0.0357011166,0.0070502755,-0.027433954,-0.001280515,0.0221103044,0.0166621094,-0.018917631,-0.012173123,-0.006125841,-0.00727672,-0.025954987,-0.006446837,-0.018045313,-0.03434578,-0.068119029,-0.004905703,-0.033060361,-0.014155306,0.0197996159,0.0114503909,0.0013861801,-0.006989162,0.011799957,-0.02401361,0.0237471861,-0.025146927,-0.02866474,0.0180198458,0.0091986511,0.0166403461,-0.027088329,0.0027757203,-0.004190706,0.0179891861,-0.027622909
09/1976,0.0206,0.0206344702,-0.008161272,-0.000731619,-0.013694635,-0.038739176,0.0357517671,-0.041722635,0.02159987,-0.014118726,0.0044683575,0.0363400015,-0.027767858,0.0193252035,-0.007797587,0.0241451205,0.0219213422,-0.004673841,0.0311871655,0.0093769025,0.0062131878,0.0308130517,-0.000276545,0.0181442269,0.0195040523,-0.010198353,0.0270366856,0.0172864722,0.023449071,0.0178705471,0.0011756933,-0.006024814,0.0017547827,0.0076259125,0.0076442221,-0.00180367,-0.000532567,-0.010531404,0.015964062,0.0129038255,0.0151783575,0.0007493689,0.0071808241,-0.000201617,0.0226359784,-0.008134807,-0.021681692,0.0418653523,0.0220973026,-0.003749875,-0.007306452,0.0120499214
10/1976,-0.0242,-0.02524008,-0.007482514,0.0074295762,-0.045551117,-0.038381048,0.0022410768,0.0251090888,0.0011464715,-0.006855514,-0.010531165,0.0018845044,-0.045470697,0.0012523627,0.0333629698,0.0177759124,0.0091667039,0.003726178,0.0106318681,-0.018718336,-0.002115141,-0.006566021,0.0195280562,-0.02747517,-0.004396077,-0.004789456,0.002378999,0.0080633524,0.0031641013,0.0063468688,-0.010079594,-0.05892431,-0.002058455,-0.018330092,0.0099707382,0.0141145127,-0.00011407,0.0242126178,-0.002088021,0.0224039394,-0.028914401,-0.008427182,-0.013949528,-0.030025897,0.0090203241,-0.018388601,-0.046247625,0.0337106035,-0.03631319,-0.003941187,-0.007850889,-0.020534988
11/1976,0.0036,0.0228516165,-0.046131496,0.0229769965,-0.003079361,0.0181657305,0.0307251185,-0.005992251,0.018906672,0.0135278719,-0.030930227,-0.021542862,0.0164110007,-0.043782001,0.0061319321,0.0219626708,0.0272845005,-0.017513991,-0.028962819,-0.024723346,-0.020798684,-0.009454179,0.0168705159,-0.019237165,-0.014284389,0.0285129371,-0.006079899,0.0027486421,0.0025021631,0.016914981,0.013485037,-0.008048822,0.0176392818,0.015145062,-0.022647559,0.0200113658,-0.007863362,0.00479064,-0.011598001,0.0271805408,-0.010818779,-0.012498138,0.0136940047,0.000210843,-0.017430616,-0.039468114,-0.063148271,0.0478165167,-0.007730309,-0.025662367,-0.000598295,0.0174852306
12/1976,0.0565,0.0712117878,-0.033034297,0.0368065779,-0.028434038,0.0185960038,-0.016548238,0.0291725461,-0.00925908,-0.038700582,-0.007566174,-0.042900109,-0.02953783,0.0032834434,0.0244351774,0.034125694,0.0347734438,-0.007355379,-0.024277917,-0.003462455,-0.009118992,-0.027574463,0.0328727053,-0.033238541,-0.023164441,0.0258960718,0.0349339941,-0.007706917,0.0007400342,0.0119349402,0.009564081,-0.01522728,0.0019990449,-0.032158154,-0.026981104,0.0385489729,-0.020751285,-0.00994094,-0.032038491,0.0185996823,-0.035221788,-0.045876582,0.0118671839,-0.001407465,-0.012492671,-0.056210533,-0.075317631,0.0407006354,-0.031517211,-0.048452346,-0.021890808,-0.013617007
01/1977,-0.0405,-0.02605533,-0.085328359,0.0735757508,-0.049212671,-0.00311385,0.0101950336,-0.028715688,0.0243594768,-0.029654993,-0.019846897,-0.024516914,-0.05089259,0.0011034061,0.0846864399,0.0830990952,0.1061557567,-0.00199363,0.0073578138,-0.015961404,0.0245052347,0.0085215512,0.0613804154,-0.046004484,-0.014444976,0.0496915539,0.0729730997,0.0398029628,0.0343229564,0.0835093047,0.0470532219,-0.020251648,0.0456336559,-0.011935501,-0.017546521,0.0550814569,-0.005913141,-0.013478569,-0.007720936,0.0623751734,-0.034258839,0.0096640871,-0.000414707,-0.030422372,0.0213138327,0.0046711798,0.0128994879,0.0435594985,-0.045878398,-0.042715767,0.0000592318,-0.005119172
02/1977,-0.0195,-0.021575666,-0.011623014,0.0121534759,0.0087148581,0.0251763226,-0.00644253,0.0160775724,-0.011208251,-0.019087865,0.0068351584,-0.007616148,0.0158648923,-0.011937823,0.0064138892,0.0149507248,0.0055319788,-0.00470848,-0.001366532,-0.001277437,0.0037691019,-0.020956877,0.00281444,0.0141917599,0.0005504147,0.0141334347,0.0221528845,-0.001475754,-0.016757247,-0.001405623,0.00710289,-0.018321858,0.0065251523,0.0027486233,0.0231239917,0.0122983828,-0.022063769,0.0065119946,-0.006457784,0.0099869902,-0.001713486,-0.018680074,-0.009714369,-0.017282212,0.0142356523,-0.017833061,-0.002412053,-0.03099421,-0.0224988,0.0106326906,0.0029457434,-0.01134612
03/1977,-0.0137,-0.005270292,-0.010226056,0.0187541121,-0.010019842,0.0058253715,-0.003879883,-0.01007278,0.0318828793,0.0050501936,0.0147805582,0.0054283888,-0.003941478,-0.022350804,0.0148121808,0.0287967502,0.0208290642,-0.003159987,0.0006482087,-0.00297826,0.0252367491,-0.001693137,0.0136735384,0.0005839545,0.0026403254,0.0134588354,-0.016403134,-0.003263592,-0.001817965,0.0074577573,0.000631634,0.0110541977,0.0059393089,0.0063635538,0.0290400543,0.0140526389,0.0039512083,-0.002184195,-0.002141521,0.0183155123,-0.001916127,-0.011264462,-0.001417201,-0.007490607,-0.015794796,-0.016983556,-0.032835943,0.0240853443,-0.011403083,-0.00409738,0.0059211547,-0.003111576
04/1977,0.0015,0.0097526798,-0.014777452,0.0389346359,-0.044074951,-0.010962186,-0.007202867,-0.003816039,0.0146565819,-0.008134813,-0.063027817,-0.012052988,-0.022298773,-0.058468627,0.0349246361,0.0385962606,0.0494781617,0.0138587888,-0.019160722,-0.018461179,-0.014416862,-0.004143269,0.0377284696,-0.04058316,-0.021049307,0.0370588988,-0.001297527,0.0214416292,0.0260856728,0.0378403438,0.0160846033,-0.012136312,0.0362179187,0.0070575227,0.0001355085,0.0285103123,0.0139664003,-0.004698659,-0.01597219,0.0288887523,-0.022710016,0.0015495295,-0.002265517,-0.003345121,-0.005829723,-0.007169914,-0.019910378,0.035961838,-0.022982984,0.0034433161,0.0045595494,0.009567999
05/1977,-0.0146,-0.009584469,-0.019840005,0.0136086891,-0.017369544,-0.009950851,0.0179817858,-0.009347044,-0.001222594,0.0116887432,-0.002736871,0.0048286298,-0.017929831,0.0060935822,0.0122253835,0.0163460564,0.0299453695,-0.006359992,0.0274331782,-0.001647603,0.0122618939,0.0239869654,0.0153054358,-0.009789445,0.0082603358,0.0033728073,0.0223181815,0.0047847235,0.0233595354,0.0166904577,0.0050021194,0.0020656242,0.014681874,-0.005131005,-0.003063556,0.0083264783,0.004604559,0.0652771424,0.0226387883,0.0263162517,0.006034332,0.0046132682,-0.009784558,-0.013710992,0.0171153834,-0.011463777,-0.02235398,0.0438446473,-0.007703551,-0.000086853,-0.011280187,-0.00096486
